Cars,Price,Mileage
2018 Hyundai Sonata 2.4L Sport,"$19,500","Mileage 58,500 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto Limited,"$19,500","Mileage 45,000 km"
2016 Honda Accord Sedan 4dr I4 CVT Touring,"$19,500","Mileage 128,436 km"
2015 Jeep Cherokee 4WD 4dr Trailhawk,"$19,500","Mileage 99,000 km"
2017 Fiat 500X FWD 4dr Trekking,"$19,500","Mileage 29,000 km"
2013 BMW 3 Series 4dr Sdn 335i xDrive AWD,"$19,499","Mileage 97,000 km"
2015 Cadillac ATS 4dr Sdn 2.0L Standard AWD,"$19,499","Mileage 64,000 km"
2010 Audi S4 4dr Sdn S tronic Premium,"$19,000","Mileage 110,000 km"
2016 Audi A3 4dr Sdn quattro 2.0T Komfort,"$19,000","Mileage 75,000 km"
2014 Cadillac ATS 4dr Sdn 2.0L Premium AWD,"$19,000","Mileage 74,000 km"
2015 Mercedes-Benz CLA-Class 4dr Sdn CLA 250 4MATIC,"$19,000","Mileage 86,000 km"
2011 Audi S4 4dr Sdn Man Premium,"$19,000","Mileage 174,000 km"
2015 Toyota Avalon 4dr Sdn Limited,"$19,000","Mileage 126,000 km"
2015 Fiat 500L 5dr HB Lounge,"$19,000","Mileage 27,000 km"
2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$19,000","Mileage 128,000 km"
2018 Honda Civic Sedan EX CVT,"$19,000","Mileage 21,540 km"
2016 Volkswagen Jetta 4dr 1.8 TSI Auto Highline,"$18,995","Mileage 39,000 km"
2014 Honda Accord Sedan 4dr I4 CVT Touring,"$18,995","Mileage 54,000 km"
2013 Lexus ES 350 4dr Sdn,"$18,900","Mileage 37,400 km"
2014 Toyota Camry 4dr Sdn I4 Auto LE,"$18,900","Mileage 62,900 km"
2018 Toyota Corolla LE CVT,"$18,900","Mileage 24,000 km"
2013 Lexus GS 350 4dr Sdn AWD,"$18,888","Mileage 170,000 km"
2018 Chevrolet Malibu 4dr Sdn LT w/1LT,"$18,500","Mileage 85,000 km"
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$18,500","Mileage 112,000 km"
2018 Volkswagen Passat Comfortline Auto,"$18,500","Mileage 60,000 km"
2015 Audi A4 4dr Sdn Auto Technik plus quattro,"$18,500","Mileage 100,692 km"
2015 Acura TLX 4dr Sdn FWD Tech,"$18,499","Mileage 90,000 km"
2016 Audi A3 4dr Sdn quattro 2.0T Komfort,"$18,495","Mileage 89,000 km"
2016 Chrysler 300 4dr Sdn 300S RWD,"$18,438","Mileage 115,000 km"
2017 Volkswagen Jetta Sedan 4dr 1.4 TSI Auto Wolfsburg Edition,"$18,099","Mileage 33,250 km"
2016 Honda Civic Sedan 4dr CVT EX-T,"$18,000","Mileage 106,000 km"
2010 Infiniti FX35 AWD 4dr,"$18,000","Mileage 150,000 km"
2014 Audi S4 4dr Sdn Auto Technik,"$18,000","Mileage 197,000 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$18,000","Mileage 138,000 km"
2016 Nissan Maxima 4dr Sdn SR,"$18,000","Mileage 125,000 km"
2015 Volkswagen Jetta 4dr 2.0 TDI DSG Highline,"$18,000","Mileage 50,000 km"
2015 Honda Accord Sedan 4dr I4 CVT Sport,"$18,000","Mileage 52,722 km"
2017 Honda Civic Sedan 4dr CVT EX-T,"$18,000","Mileage 67,000 km"
2014 Nissan LEAF 4dr HB SL + Tech,"$18,000","Mileage 85,000 km"
2015 Chrysler 200 4dr Sdn Limited FWD,"$18,000","Mileage 125,439 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$18,000","Mileage 138,200 km"
2016 Volkswagen Passat 4dr Sdn 3.6L DSG Execline,"$18,000","Mileage 96,000 km"
2017 Hyundai Elantra 4dr Sdn Man Sport,"$18,000","Mileage 80,000 km"
2014 Toyota Camry Hybrid 4dr Sdn XLE,"$18,000","Mileage 130,000 km"
2014 Infiniti Q50 4dr Sdn Premium AWD,"$18,000","Mileage 86,000 km"
2013 BMW 3 Series 4dr Sdn 335i xDrive AWD,"$18,000","Mileage 121,000 km"
2018 Mazda Mazda3 GS Auto,"$18,000","Mileage 42,000 km"
2018 Honda Civic Sedan LX CVT,"$18,000","Mileage 18,000 km"
2012 Acura TL 4dr Sdn Auto SH-AWD w-Elite Pkg,"$18,000","Mileage 98,000 km"
2017 Honda Civic Sedan 4dr CVT EX,"$18,000","Mileage 57,000 km"
2016 Kia Forte 4dr Sdn Auto SX,"$17,999","Mileage 24,000 km"
2013 Lexus ES 300h 4dr Sdn,"$17,999","Mileage 142,000 km"
2018 Hyundai Elantra Limited Auto,"$17,950","Mileage 31,800 km"
2018 Hyundai Elantra GL Auto,"$17,900","Mileage 19,500 km"
2015 Dodge Charger 4dr Sdn SXT RWD,"$17,900","Mileage 70,000 km"
2017 Volkswagen Jetta Sedan 4dr 1.4 TSI Auto Trendline+,"$17,900","Mileage 51,013 km"
2015 Nissan Altima 4dr Sdn I4 CVT 2.5 SL,"$17,850","Mileage 41,090 km"
2018 Hyundai Elantra GL Auto,"$17,800","Mileage 52,000 km"
2017 Toyota Corolla 4dr Sdn CVT LE,"$17,700","Mileage 30,700 km"
2015 Volkswagen Jetta 4dr 2.0 TDI DSG Highline,"$17,597","Mileage 98,000 km"
2017 Honda Civic Sedan 4dr CVT LX,"$17,500","Mileage 48,574 km"
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$17,500","Mileage 120,000 km"
2015 Audi A4 4dr Sdn Auto Technik plus quattro,"$17,500","Mileage 125,000 km"
2015 Toyota Camry 4dr Sdn I4 Auto LE,"$17,500","Mileage 26,000 km"
2011 Jaguar XF 4dr Sdn Premium Luxury Portfolio,"$17,500","Mileage 36,000 km"
2015 Dodge Charger 4dr Sdn SXT RWD,"$17,500","Mileage 193,500 km"
2016 Toyota Camry 4dr Sdn I4 Auto LE,"$17,500","Mileage 77,965 km"
2014 BMW 5 Series 4dr Sdn 528i xDrive AWD,"$17,500",Mileage 140 km
2012 Acura TL 4dr Sdn Auto SH-AWD w-Elite Pkg,"$17,500","Mileage 98,000 km"
2014 Audi A4 4dr Sdn Auto Progressiv quattro,"$17,500","Mileage 125,000 km"
2017 Toyota Corolla 4dr Sdn CVT SE,"$17,500","Mileage 38,000 km"
2014 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$17,400","Mileage 71,000 km"
2015 Toyota Camry 4dr Sdn I4 Auto XLE,"$17,000","Mileage 60,106 km"
2014 Honda Accord 2dr I4 CVT EX,"$17,000","Mileage 112,000 km"
2017 Mitsubishi Lancer 4dr Sdn Man SE Anniversary Edition FWD,"$17,000","Mileage 17,500 km"
2013 Mercedes-Benz C-Class 4dr Sdn C350 4MATIC,"$17,000","Mileage 125,000 km"
2014 Volkswagen Passat 4dr Sdn 2.0 TDI DSG Highline,"$17,000","Mileage 82,000 km"
